,state,Latitude,Longitude,question_id,poll_id,cycle,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,created_at,notes,url,stage,party,answer,candidate_id,candidate_name,pct,Date
0,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Buttigieg,13345.0,Pete Buttigieg,3.0,2019-03-20
1,Alabama,32.806671,-86.79113000000001,119495.0,64693.0,2020.0,1515.0,Data for Progress,,,Data for Progress,522.0,Data for Progress,B/C,237.0,lv,lv-d,Online/Text,U.S. President,2/27/20,3/2/20,,False,,False,False,3/3/20 06:21,,https://www.dataforprogress.org/memos/super-tuesday-final-polling,primary,DEM,Bloomberg,13289.0,Michael Bloomberg,18.0,2020-02-27
2,Alabama,32.806671,-86.79113000000001,119495.0,64693.0,2020.0,1515.0,Data for Progress,,,Data for Progress,522.0,Data for Progress,B/C,237.0,lv,lv-d,Online/Text,U.S. President,2/27/20,3/2/20,,False,,False,False,3/3/20 06:21,,https://www.dataforprogress.org/memos/super-tuesday-final-polling,primary,DEM,Buttigieg,13345.0,Pete Buttigieg,0.0,2020-02-27
3,Alabama,32.806671,-86.79113000000001,119495.0,64693.0,2020.0,1515.0,Data for Progress,,,Data for Progress,522.0,Data for Progress,B/C,237.0,lv,lv-d,Online/Text,U.S. President,2/27/20,3/2/20,,False,,False,False,3/3/20 06:21,,https://www.dataforprogress.org/memos/super-tuesday-final-polling,primary,DEM,Steyer,13327.0,Tom Steyer,0.0,2020-02-27
4,Alabama,32.806671,-86.79113000000001,119495.0,64693.0,2020.0,1515.0,Data for Progress,,,Data for Progress,522.0,Data for Progress,B/C,237.0,lv,lv-d,Online/Text,U.S. President,2/27/20,3/2/20,,False,,False,False,3/3/20 06:21,,https://www.dataforprogress.org/memos/super-tuesday-final-polling,primary,DEM,Gabbard,13343.0,Tulsi Gabbard,2.0,2020-02-27
5,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Warren,13258.0,Elizabeth Warren,6.0,2019-03-20
6,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Klobuchar,13310.0,Amy Klobuchar,1.0,2019-03-20
7,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Yang,13329.0,Andrew Yang,1.0,2019-03-20
8,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Castro,13316.0,Julián Castro,1.0,2019-03-20
9,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Moulton,13322.0,Seth Moulton,1.0,2019-03-20
10,Alabama,32.806671,-86.79113000000001,119495.0,64693.0,2020.0,1515.0,Data for Progress,,,Data for Progress,522.0,Data for Progress,B/C,237.0,lv,lv-d,Online/Text,U.S. President,2/27/20,3/2/20,,False,,False,False,3/3/20 06:21,,https://www.dataforprogress.org/memos/super-tuesday-final-polling,primary,DEM,Biden,13256.0,Joseph R. Biden Jr.,47.0,2020-02-27
11,Alabama,32.806671,-86.79113000000001,99478.0,58691.0,2020.0,1193.0,SurveyMonkey,132,NBC News,SurveyMonkey,324.0,SurveyMonkey,D-,257.0,rv,rv-d,Online,U.S. President,7/2/19,7/16/19,,False,,False,False,7/19/19 08:49,,https://www.documentcloud.org/documents/6206538-NBC-News-SurveyMonkey-Alabama-Poll-7-19.html,primary,DEM,Biden,13256.0,Joseph R. Biden Jr.,36.0,2019-07-02
12,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Inslee,13324.0,Jay Robert Inslee,0.0,2019-03-20
13,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Gillibrand,13311.0,Kirsten E. Gillibrand,0.0,2019-03-20
14,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Hickenlooper,13326.0,John Hickenlooper,0.0,2019-03-20
15,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,de Blasio,13335.0,Bill de Blasio,0.0,2019-03-20
16,Alabama,32.806671,-86.79113000000001,93813.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Messam,13357.0,Wayne Messam,0.0,2019-03-20
